tahun,kode_kabupaten_kota,nama_kabupaten_kota,persentase_penduduk_miskin
2017,3201,KABUPATEN BOGOR,8.57
2017,3202,KABUPATEN SUKABUMI,8.04
2017,3203,KABUPATEN CIANJUR,11.41
2017,3204,KABUPATEN BANDUNG,7.36
2017,3205,KABUPATEN GARUT,11.27
2017,3206,KABUPATEN TASIKMALAYA,10.84
2017,3207,KABUPATEN CIAMIS,8.2
2017,3208,KABUPATEN KUNINGAN,13.27
2017,3209,KABUPATEN CIREBON,12.97
2017,3210,KABUPATEN MAJALENGKA,12.6
2017,3211,KABUPATEN SUMEDANG,10.53
2017,3212,KABUPATEN INDRAMAYU,13.67
2017,3213,KABUPATEN SUBANG,10.77
2017,3214,KABUPATEN PURWAKARTA,9.06
2017,3215,KABUPATEN KARAWANG,10.25
2017,3216,KABUPATEN BEKASI,4.73
2017,3217,KABUPATEN BANDUNG BARAT,11.49
2017,3218,KABUPATEN PANGANDARAN,10.0
2017,3271,KOTA BOGOR,7.11
2017,3272,KOTA SUKABUMI,8.48
2017,3273,KOTA BANDUNG,4.17
2017,3274,KOTA CIREBON,9.66
2017,3275,KOTA BEKASI,4.79
2017,3276,KOTA DEPOK,2.34
2017,3277,KOTA CIMAHI,5.76
2017,3278,KOTA TASIKMALAYA,14.8
2017,3279,KOTA BANJAR,7.06
2018,3201,KABUPATEN BOGOR,7.14
2018,3202,KABUPATEN SUKABUMI,6.76
2018,3203,KABUPATEN CIANJUR,9.81
2018,3204,KABUPATEN BANDUNG,6.65
2018,3205,KABUPATEN GARUT,9.27
2018,3206,KABUPATEN TASIKMALAYA,9.85
2018,3207,KABUPATEN CIAMIS,7.22
2018,3208,KABUPATEN KUNINGAN,12.22
2018,3209,KABUPATEN CIREBON,10.7
2018,3210,KABUPATEN MAJALENGKA,10.79
2018,3211,KABUPATEN SUMEDANG,9.76
2018,3212,KABUPATEN INDRAMAYU,11.89
2018,3213,KABUPATEN SUBANG,8.67
2018,3214,KABUPATEN PURWAKARTA,7.99
2018,3215,KABUPATEN KARAWANG,8.06
2018,3216,KABUPATEN BEKASI,4.37
