tahun,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_manfaat
2017,3201,KABUPATEN BOGOR,115067
2017,3202,KABUPATEN SUKABUMI,58216
2017,3203,KABUPATEN CIANJUR,68679
2017,3204,KABUPATEN BANDUNG,817
2017,3205,KABUPATEN GARUT,82564
2017,3206,KABUPATEN TASIKMALAYA,46598
2017,3207,KABUPATEN CIAMIS,36622
2017,3208,KABUPATEN KUNINGAN,28698
2017,3209,KABUPATEN CIREBON,75906
2017,3210,KABUPATEN MAJALENGKA,36194
2017,3211,KABUPATEN SUMEDANG,51112
2017,3212,KABUPATEN INDRAMAYU,50895
2017,3213,KABUPATEN SUBANG,50254
2017,3214,KABUPATEN PURWAKARTA,31032
2017,3215,KABUPATEN KARAWANG,57373
2017,3216,KABUPATEN BEKASI,32555
2017,3217,KABUPATEN BANDUNG BARAT,52088
2017,3218,KABUPATEN PANGANDARAN,8129
2017,3271,KOTA BOGOR,14825
2017,3272,KOTA SUKABUMI,5179
2017,3273,KOTA BANDUNG,22126
2017,3274,KOTA CIREBON,6881
2017,3275,KOTA BEKASI,23979
2017,3276,KOTA DEPOK,13368
2017,3277,KOTA CIMAHI,6785
2017,3278,KOTA TASIKMALAYA,27164
2017,3279,KOTA BANJAR,3215
2018,3201,KABUPATEN BOGOR,134558
2018,3202,KABUPATEN SUKABUMI,106709
2018,3203,KABUPATEN CIANJUR,133764
2018,3204,KABUPATEN BANDUNG,123822
2018,3205,KABUPATEN GARUT,141942
2018,3206,KABUPATEN TASIKMALAYA,100086
2018,3207,KABUPATEN CIAMIS,49488
2018,3208,KABUPATEN KUNINGAN,45778
2018,3209,KABUPATEN CIREBON,120097
2018,3210,KABUPATEN MAJALENGKA,62216
2018,3211,KABUPATEN SUMEDANG,60072
2018,3212,KABUPATEN INDRAMAYU,103634
2018,3213,KABUPATEN SUBANG,735
2018,3214,KABUPATEN PURWAKARTA,32528
2018,3215,KABUPATEN KARAWANG,90526
2018,3216,KABUPATEN BEKASI,67331
2018,3217,KABUPATEN BANDUNG BARAT,74167
2018,3218,KABUPATEN PANGANDARAN,17462
2018,3271,KOTA BOGOR,17075
2018,3272,KOTA SUKABUMI,9082
2018,3273,KOTA BANDUNG,36224
2018,3274,KOTA CIREBON,10568
2018,3275,KOTA BEKASI,41687
2018,3276,KOTA DEPOK,21537
2018,3277,KOTA CIMAHI,9313
2018,3278,KOTA TASIKMALAYA,35955
2018,3279,KOTA BANJAR,552
2019,3201,KABUPATEN BOGOR,132408
2019,3202,KABUPATEN SUKABUMI,102021
2019,3203,KABUPATEN CIANJUR,143951
2019,3204,KABUPATEN BANDUNG,121545
2019,3205,KABUPATEN GARUT,142896
2019,3206,KABUPATEN TASIKMALAYA,99296
2019,3207,KABUPATEN CIAMIS,52994
2019,3208,KABUPATEN KUNINGAN,4388
2019,3209,KABUPATEN CIREBON,117025
2019,3210,KABUPATEN MAJALENGKA,73823
2019,3211,KABUPATEN SUMEDANG,57566
2019,3212,KABUPATEN INDRAMAYU,104832
2019,3213,KABUPATEN SUBANG,70324
2019,3214,KABUPATEN PURWAKARTA,30562
2019,3215,KABUPATEN KARAWANG,87768
2019,3216,KABUPATEN BEKASI,70392
2019,3217,KABUPATEN BANDUNG BARAT,7649
2019,3218,KABUPATEN PANGANDARAN,16945
2019,3271,KOTA BOGOR,21804
2019,3272,KOTA SUKABUMI,11525
2019,3273,KOTA BANDUNG,37044
2019,3274,KOTA CIREBON,1068
2019,3275,KOTA BEKASI,41838
2019,3276,KOTA DEPOK,25832
2019,3277,KOTA CIMAHI,9267
2019,3278,KOTA TASIKMALAYA,37795
2019,3279,KOTA BANJAR,5307
2020,3201,KABUPATEN BOGOR,143717
2020,3202,KABUPATEN SUKABUMI,108328
2020,3203,KABUPATEN CIANJUR,152362
2020,3204,KABUPATEN BANDUNG,124586
2020,3205,KABUPATEN GARUT,150056
2020,3206,KABUPATEN TASIKMALAYA,105538
2020,3207,KABUPATEN CIAMIS,44614
2020,3208,KABUPATEN KUNINGAN,40971
2020,3209,KABUPATEN CIREBON,105782
2020,3210,KABUPATEN MAJALENGKA,70166
2020,3211,KABUPATEN SUMEDANG,49697
