id,kode_provinsi,nama_provinsi,kategori_daerah,periode_bulan,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,PERKOTAAN,MARET,2.73,JUTA JIWA,2020
2,32,JAWA BARAT,PERDESAAN,MARET,1.19,JUTA JIWA,2020
3,32,JAWA BARAT,PERKOTAAN,SEPTEMBER,3.0,JUTA JIWA,2020
4,32,JAWA BARAT,PERDESAAN,SEPTEMBER,1.18,JUTA JIWA,2020
5,32,JAWA BARAT,PERKOTAAN,MARET,3.05,JUTA JIWA,2021
6,32,JAWA BARAT,PERDESAAN,MARET,1.14,JUTA JIWA,2021
7,32,JAWA BARAT,PERKOTAAN,SEPTEMBER,2.95,JUTA JIWA,2021
8,32,JAWA BARAT,PERDESAAN,SEPTEMBER,1.05,JUTA JIWA,2021
9,32,JAWA BARAT,PERKOTAAN,MARET,3.01,JUTA JIWA,2022
10,32,JAWA BARAT,PERDESAAN,MARET,1.06,JUTA JIWA,2022
11,32,JAWA BARAT,PERKOTAAN,SEPTEMBER,3.02,JUTA JIWA,2022
12,32,JAWA BARAT,PERDESAAN,SEPTEMBER,1.03,JUTA JIWA,2022
13,32,JAWA BARAT,PERKOTAAN,MARET,2.91,JUTA JIWA,2023
14,32,JAWA BARAT,PERDESAAN,MARET,0.97,JUTA JIWA,2023
15,32,JAWA BARAT,PERKOTAAN,SEPTEMBER,0.0,JUTA JIWA,2023
16,32,JAWA BARAT,PERDESAAN,SEPTEMBER,0.0,JUTA JIWA,2023
17,32,JAWA BARAT,PERKOTAAN,MARET,2.92,JUTA JIWA,2024
18,32,JAWA BARAT,PERDESAAN,MARET,0.93,JUTA JIWA,2024
19,32,JAWA BARAT,PERKOTAAN,SEPTEMBER,2.78,JUTA JIWA,2024
20,32,JAWA BARAT,PERDESAAN,SEPTEMBER,0.89,JUTA JIWA,2024
21,32,JAWA BARAT,PERKOTAAN,MARET,2.85,JUTA JIWA,2025
22,32,JAWA BARAT,PERDESAAN,MARET,0.81,JUTA JIWA,2025
