id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_manfaat,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,115067,KELUARGA PENERIMA MANFAAT,2017
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,58216,KELUARGA PENERIMA MANFAAT,2017
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,68679,KELUARGA PENERIMA MANFAAT,2017
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,817,KELUARGA PENERIMA MANFAAT,2017
5,32,JAWA BARAT,3205,KABUPATEN GARUT,82564,KELUARGA PENERIMA MANFAAT,2017
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,46598,KELUARGA PENERIMA MANFAAT,2017
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,36622,KELUARGA PENERIMA MANFAAT,2017
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28698,KELUARGA PENERIMA MANFAAT,2017
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,75906,KELUARGA PENERIMA MANFAAT,2017
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,36194,KELUARGA PENERIMA MANFAAT,2017
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,51112,KELUARGA PENERIMA MANFAAT,2017
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,50895,KELUARGA PENERIMA MANFAAT,2017
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,50254,KELUARGA PENERIMA MANFAAT,2017
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31032,KELUARGA PENERIMA MANFAAT,2017
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,57373,KELUARGA PENERIMA MANFAAT,2017
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,32555,KELUARGA PENERIMA MANFAAT,2017
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,52088,KELUARGA PENERIMA MANFAAT,2017
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8129,KELUARGA PENERIMA MANFAAT,2017
19,32,JAWA BARAT,3271,KOTA BOGOR,14825,KELUARGA PENERIMA MANFAAT,2017
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5179,KELUARGA PENERIMA MANFAAT,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,22126,KELUARGA PENERIMA MANFAAT,2017
22,32,JAWA BARAT,3274,KOTA CIREBON,6881,KELUARGA PENERIMA MANFAAT,2017
23,32,JAWA BARAT,3275,KOTA BEKASI,23979,KELUARGA PENERIMA MANFAAT,2017
24,32,JAWA BARAT,3276,KOTA DEPOK,13368,KELUARGA PENERIMA MANFAAT,2017
25,32,JAWA BARAT,3277,KOTA CIMAHI,6785,KELUARGA PENERIMA MANFAAT,2017
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27164,KELUARGA PENERIMA MANFAAT,2017
27,32,JAWA BARAT,3279,KOTA BANJAR,3215,KELUARGA PENERIMA MANFAAT,2017
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,134558,KELUARGA PENERIMA MANFAAT,2018
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,106709,KELUARGA PENERIMA MANFAAT,2018
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,133764,KELUARGA PENERIMA MANFAAT,2018
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,123822,KELUARGA PENERIMA MANFAAT,2018
32,32,JAWA BARAT,3205,KABUPATEN GARUT,141942,KELUARGA PENERIMA MANFAAT,2018
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,100086,KELUARGA PENERIMA MANFAAT,2018
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,49488,KELUARGA PENERIMA MANFAAT,2018
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,45778,KELUARGA PENERIMA MANFAAT,2018
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,120097,KELUARGA PENERIMA MANFAAT,2018
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,62216,KELUARGA PENERIMA MANFAAT,2018
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60072,KELUARGA PENERIMA MANFAAT,2018
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,103634,KELUARGA PENERIMA MANFAAT,2018
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,735,KELUARGA PENERIMA MANFAAT,2018
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,32528,KELUARGA PENERIMA MANFAAT,2018
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,90526,KELUARGA PENERIMA MANFAAT,2018
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,67331,KELUARGA PENERIMA MANFAAT,2018
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,74167,KELUARGA PENERIMA MANFAAT,2018
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,17462,KELUARGA PENERIMA MANFAAT,2018
46,32,JAWA BARAT,3271,KOTA BOGOR,17075,KELUARGA PENERIMA MANFAAT,2018
47,32,JAWA BARAT,3272,KOTA SUKABUMI,9082,KELUARGA PENERIMA MANFAAT,2018
48,32,JAWA BARAT,3273,KOTA BANDUNG,36224,KELUARGA PENERIMA MANFAAT,2018
49,32,JAWA BARAT,3274,KOTA CIREBON,10568,KELUARGA PENERIMA MANFAAT,2018
50,32,JAWA BARAT,3275,KOTA BEKASI,41687,KELUARGA PENERIMA MANFAAT,2018
51,32,JAWA BARAT,3276,KOTA DEPOK,21537,KELUARGA PENERIMA MANFAAT,2018
52,32,JAWA BARAT,3277,KOTA CIMAHI,9313,KELUARGA PENERIMA MANFAAT,2018
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,35955,KELUARGA PENERIMA MANFAAT,2018
54,32,JAWA BARAT,3279,KOTA BANJAR,552,KELUARGA PENERIMA MANFAAT,2018
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,132408,KELUARGA PENERIMA MANFAAT,2019
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,102021,KELUARGA PENERIMA MANFAAT,2019
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,143951,KELUARGA PENERIMA MANFAAT,2019
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,121545,KELUARGA PENERIMA MANFAAT,2019
59,32,JAWA BARAT,3205,KABUPATEN GARUT,142896,KELUARGA PENERIMA MANFAAT,2019
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,99296,KELUARGA PENERIMA MANFAAT,2019
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52994,KELUARGA PENERIMA MANFAAT,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4388,KELUARGA PENERIMA MANFAAT,2019
